capitulo,articulo,contenido
CAPÍTULO definiciones,Artículo DEFINICIONES A,"Apoyo educativo. Es el apoyo que el Tecnológico de Monterrey asigna a un alumno para cubrir los gastos relacionados con colegiaturas. Los tipos de apoyo educativo son: Beca, Préstamo Educativo y la combinación de ambos.  Asignación. Proceso posterior al trámite de la solicitud mediante el cual se otorga un tipo de apoyo educativo a un alumno para cursar sus estudios.  Beca. Es la exención del pago de un porcentaje de la colegiatura sin ningún compromiso de retribución posterior por parte del beneficiario.  Beca al talento. Tipo de beca que se otorga a los alumnos destacados como reconocimiento por su notable desempeño en actividades académicas, artísticas, atléticas, de liderazgo o de emprendimiento o por la producción de proyectos creativos.  Carreras de doble titulación. La lista de programas autorizados se encuentra en el Anexo I."
CAPÍTULO definiciones,Artículo DEFINICIONES B," Campus destino. Campus que recibe una solicitud de apoyo educativo por parte de un alumno en un proceso de transferencia de un campus a otro.  Campus origen. Campus de donde proviene un alumno en un proceso de trans- ferencia de un campus a otro.  Carga académica completa. De acuerdo con el Artículo 4.2 del Reglamento Académico para carreras profesionales de planes 2019 o posteriores, para un alumno de tiempo completo, la carga académica semestral es de 18 créditos académicos.  Combinación de beca y préstamo educativo. Tipo de apoyo educativo compuesto por una beca y un préstamo educativo. El compromiso para el beneficiario es el de retribuir lo recibido, correspondiente al porcentaje de préstamo educativo, en los términos y condiciones que el Instituto determine.  Comités de apoyos educativos. Grupo de personas representantes de distintas áreas de un campus que posee la autoridad para asignar los tipos de apoyos educativos. Entre sus funciones principales está la revisión y evaluación de las solicitudes de apoyos educativos.     "
CAPÍTULO definiciones,Artículo DEFINICIONES C," Créditos académicos. Representan el tiempo que un alumno dedica a una materia o unidad de formación, dentro y fuera del salón de clases para cumplir con los fines de aprendizaje de la misma. a.	Tres créditos académicos de preparatoria son equivalentes a seis unidades académicas. b.	Tres créditos académicos de profesional son equivalentes a ocho unidades académicas. c.	Tres créditos académicos de posgrado son equivalentes a doce unidades académicas.  Cursos intensivos. Son los cursos que se imparten en los periodos de verano o invierno.  Doble título profesional. Dos títulos profesionales que otorga el Tecnológico de Monterrey, a un alumno de plan 2019 y posterior, por cubrir los requisitos de dos carreras profesionales.  Duración del plan de estudios. Créditos académicos totales en un plan de es- tudios.  Formalización de préstamo educativo. Consiste en recabar documentos mínimos de soporte legal, necesarios para el otorgamiento de Préstamo Educativo, siendo estos documentos: Contrato y Pagaré debidamente completado y firmado en original por parte de los participantes, alumno, responsable del pago de colegiaturas en su carácter de obligado solidario, y representante legal de la Institución.                  "
CAPÍTULO definiciones,Artículo DEFINICIONES D,"  Franquicia. Es el porcentaje de la colegiatura asignada como beca o préstamo educativo.  Plan de estudios. Lista de unidades de formación que integra un programa aca- démico.  Periodos académicos. Son los periodos semestrales y trimestrales en los que se imparten los cursos.  Préstamo educativo. Porcentaje de colegiatura cuyo pago se difiere en los tér- minos y condiciones que el Instituto determine.  Presupuesto de becas y préstamos educativos. Parte del presupuesto de ingresos por concepto de colegiatura del campus que está destinado para becas y préstamos educativos en un determinado periodo.      Programa académico primario. Carrera profesional definida con prioridad por el alumno inscrito.  Programa académico secundario. Carrera profesional definida con segunda prioridad por el alumno inscrito.  Programa de Becarios (PDB). Conjunto de actividades académicas y formativas por medio de la cuales un alumno beneficiado por un programa de becas desarrolla habilidades que agregan valor a su plan de vida y a la Institución.  Programa de becas y préstamos educativos. Esquemas diferenciados de apoyo económico que ofrece el Tecnológico de Monterrey a los alumnos para realizar sus estudios. Cada programa está orientado a un determinado perfil de alumno y tienen sus propias características, franquicias, requisitos de asignación y conservación del apoyo educativo.  Promedio de periodo incluyendo intensivos. También llamado promedio de beca. Es el promedio ponderado por los créditos académicos que considera las calificaciones finales de todas las materias o unidades de formación cursadas en el periodo semestral y en el periodo intensivo previo a dicho semestre, incluyendo las aprobadas y reprobadas. Este promedio incluye las unidades de formación de nivel introductorio cursadas en los periodos mencionados anteriormente y es utilizado como requisito de conservación de la beca para el semestre que se inscribe y periodo intensivo inmediato posterior.  Prueba de Aptitud Académica. Prueba que mide las habilidades de razonamiento verbal y matemático de los estudiantes de habla hispana que desean realizar estudios superiores. Se utiliza, junto con otros elementos, para dictaminar la admisión de los solicitantes.  Solicitud de becas y préstamos educativos. Documento que contiene información general y académica del candidato, así como de la situación socioeconómica actual de su familia. Debe ser entregado por parte del candidato que pretende obtener algún tipo de beca o préstamo educativo para cursar sus estudios.                                 "
CAPÍTULO I,Artículo 1," Para llevar a cabo sus actividades académicas y formativas con los niveles de excelencia que lo caracterizan, el Tecnológico de Monterrey cuenta con programas de apoyos educativos para ayudar económicamente a los alumnos que tienen las habilidades necesarias para cursar exitosamente sus estudios y que cumplen con los requisitos establecidos en dichos programas. "
CAPÍTULO I,Artículo 2," Para los efectos de este reglamento, se entenderá por:  Apoyo educativo: es el apoyo que el Tecnológico de Monterrey asigna a un alumno para cubrir los gastos relacionados con colegiaturas y cuenta con ciertas características. Los tipos de apoyo educativo son: beca, préstamo educativo y la combinación de ambos. Beca: es la exención del pago total o de un porcentaje de la colegiatura sin ningún compromiso de retribución posterior por parte del beneficiario. Becario: es la persona a quien se le ha concedido una beca. Cancelación de la beca: es la interrupción definitiva del apoyo, por causas diferentes a las de su terminación. Convocatoria: es el documento publicado en diversos medios de comunicación mediante el cual se dan a conocer las características específicas del concurso abierto, en el cual el público en general podrá participar para la obtención de las becas que otorga el Tecnológico de Monterrey. Asimismo, se señala el calendario particular para aplicar a cada una de ellas y los requisitos que deben cubrir los solicitantes interesados. Préstamo educativo: es un porcentaje de la colegiatura cuyo pago se difiere en los términos y condiciones que el Instituto determine. Franquicia: es el porcentaje de la colegiatura asignada como beca o préstamo educativo. Solicitante: es la persona que solicita una beca o préstamo educativo.  REGLAMENTO DE BECAS Y PRÉSTAMOS EDUCATIVOS PARA LOS ALUMNOS DE PREPARATORIA Y PROFESIONAL  "
CAPÍTULO I,Artículo 3," Este reglamento tiene como objetivo:  a.	Hacer más eficiente el proceso de solicitud, asignación y conservación de las becas y préstamos educativos para los alumnos que han sido admitidos y que solicitan o reciben algún tipo de apoyo. b.	Facilitar a los campus los procesos de solicitud, asignación, formalización, conservación, administración y transferencia de los programas de becas y préstamos educativos. c.	Regular y ejecutar los programas de becas y préstamos educativos, de conformidad con el presupuesto asignado para ese fin. d.	Establecer las bases, requisitos y procedimientos para el otorgamiento, conservación y cancelación de becas y préstamos educativos del Tecnológico de Monterrey.  Las políticas y normas aquí contenidas se refieren a los niveles de enseñanza de preparatoria y de profesional. "
CAPÍTULO I,Artículo 4," Cuando en este reglamento se dé una denominación distinta a alguna unidad ad- ministrativa, entendiéndose por estas cualquier dirección, departamento o uni- dad de atención o servicio, establecida con anterioridad al inicio de la vigencia del mismo, los asuntos en trámites serán atendidos por la unidad administrativa con la nueva denominación. "
CAPÍTULO I,Artículo 5, El proceso para el otorgamiento y conservación de becas y préstamos educativos del Tecnológico de Monterrey inicia con la convocatoria dirigida al público en general y en apego a los tiempos establecidos por el calendario administrativo vigente. 
CAPÍTULO I,Artículo 6," La convocatoria que incluye los requisitos para participar, es publicada en el sitio oficial del Tecnológico de Monterrey en su sección de Admisiones y es difundida por medios electrónicos, impresos o de manera presencial. La asignación de becas se realiza en apego a criterios objetivos directamente relacionados con capacidades académicas, atléticas, artísticas, de liderazgo, creativas y de emprendimiento, del solicitante y en cumplimiento con las bases y procedimientos señalados en el presente reglamento.   18   "
CAPÍTULO I,Artículo 7," La entidad responsable de la asignación de becas y préstamos educativos son los comités de apoyos educativos designados para dicho propósito, con el fin de asegurar el cumplimiento de la normativa establecida en este reglamento y que la asignación de dichos apoyos se realice de forma imparcial en cada campus considerando la situación particular de cada alumno.                                 "
CAPÍTULO II,Artículo 8," El Tecnológico de Monterrey ofrece tres tipos de apoyos: beca, préstamo edu- cativo y la combinación de ambos.  Beca: es la exención del pago de un porcentaje de la colegiatura sin ningún compromiso de retribución posterior por parte del beneficiario. Cada programa de becas está orientado a un determinado perfil de alumno y tienen sus propias características, franquicias, requisitos de asignación y conservación de la beca. Préstamo educativo: es un porcentaje de la colegiatura cuyo pago se difiere en los términos y condiciones que el Instituto determine. Combinación de Beca y Préstamo Educativo: es la combinación de los dos apoyos anteriores. El compromiso para el beneficiario es el de retribuir lo recibido, correspondiente al porcentaje de préstamo educativo en los términos y condiciones que el Instituto determine.  El préstamo educativo no se puede otorgar a alumnos extranjeros, ni de manera individual ni en combinación con ninguna otra beca. "
CAPÍTULO II,Artículo 9," Una vez que un alumno solicitante se ha hecho merecedor a una beca o préstamo educativo, los términos y las condiciones del mismo se establecerán en los documentos oficiales establecidos por la Institución para ese propósito. "
CAPÍTULO II,Artículo 10," Una combinación de beca y préstamo educativo aplica, solamente, para alumnos del nivel de profesional. Para alumnos del nivel de preparatoria aplica solamente el otorgamiento de beca. "
CAPÍTULO II,Artículo 11," Los programas de becas se clasifican de la siguiente manera:  a.	Socioeconómicas. Se ofrecen como una opción a estudiantes mexicanos que tienen la disposición y las habilidades necesarias para cursar exitosamente sus estudios en el Instituto, pero que no tienen suficientes    recursos económicos para cubrir los gastos inherentes. Este apoyo se otorgará con base en la situación económica familiar comprobada del solicitante. b.	Talento académico. Tienen como objetivo atraer a los alumnos con un alto desempeño académico para cursar sus estudios sin tomar en consideración la situación económica familiar o nacionalidad. Se convoca y se selecciona a los alumnos con los mejores promedios y resultados en su primera Prueba de Aptitud Académica. c.	Talento estudiantil. Se ofrecen como opción a los alumnos destacados por su notable desempeño a nivel estatal, nacional o internacional, en actividades artísticas, atléticas y de liderazgo de acuerdo con los perfiles establecidos para cada una de las actividades sin tomar en consideración la situación económica familiar o nacionalidad. d.	Talento emprendedor. Es un programa selectivo que tiene como objetivo impulsar a emprendedores que ya cuenten con proyectos creativos e innovadores de alto impacto para el país y el mundo, sin tomar en consideración la situación económica familiar o nacionalidad. e.	Líderes del mañana. Tiene el propósito de beneficiar a estudiantes mexicanos con alto desempeño académico, con sensibilidad social, que han demostrado habilidades de liderazgo y las habilidades necesarias para cursar exitosamente una carrera profesional en el Tecnológico de Monterrey, pero que no tienen suficientes recursos económicos para cubrir los gastos inherentes de colegiatura. f.	Fondos externos. Este tipo de becas de colegiatura se establecen a través de convenios con organismos externos, los recursos o donativos son administrados por el Tecnológico de Monterrey. Los requisitos de asignación y conservación de este tipo de becas podrán ser definidos por el organismo externo siempre que no contravenga los establecidos por el Tecnológico de Monterrey para sus programas de apoyo socioeconómico. Adicionalmente, a los alumnos beneficiados con este tipo de becas se les podrán otorgar apoyos económicos para sus gastos escolares y de manutención. g.	Socioeconómicas para alumnos extranjeros. Este programa otorga becas a estudiantes extranjeros que tienen las habilidades necesarias para cursar exitosamente una carrera profesional y no tienen recursos económicos suficientes para cubrir los gastos inherentes de colegiatura. h.	Talento Creativo. Es un programa selectivo que tiene como objetivo reconocer y apoyar a estudiantes que demuestren talento creativo destacado para potenciar sus competencias en las diferentes áreas creativas.   "
CAPÍTULO II,Artículo 12," El porcentaje de colegiatura que deben cumplir los tipos de apoyos educativos a otorgar a un alumno solicitante son los siguientes:  a.	En el Programa de Becas Socioeconómicas para el nivel de profesional la combinación de beca y préstamo educativo puede ser, como máximo, del 80% de la colegiatura. En casos excepcionales, puede autorizarse hasta una combinación del 90% con base en criterios establecidos. El porcentaje de préstamo educativo no debe exceder al 25% de la colegiatura. En el nivel de preparatoria el porcentaje de beca no debe exceder al 40% y excepcionalmente hasta un 50% con base en los criterios establecidos. b.	En el Programa de Becas al Talento Académico el porcentaje de beca se debe otorgar de acuerdo con las franquicias establecidas en la convocatoria vigente, sin exceder el porcentaje máximo de cada convocatoria para cada uno de los niveles. Para los candidatos del nivel profesional, si la necesidad económica es mayor a la beca otorgada, puede ser complementado hasta con un 25% de préstamo educativo sin exceder el 90% de apoyo total, de acuerdo con los lineamientos previamente definidos. c.	En el Programa de Becas al Talento Estudiantil el porcentaje de beca no debe exceder el tabulador definido para cada área. En casos excepcionales el Director General del campus podrá decidir autorizar, por recomendación del Comité Nacional de Becas al Talento Estudiantil, una beca por actividades atléticas de un 100% de colegiatura con base en los criterios establecidos y autorizada por el Vicepresidente Regional. d.	En el Programa de Becas al Talento Emprendedor el porcentaje de beca no debe exceder al 70% de la colegiatura. Si la necesidad económica es mayor a la beca otorgada puede ser complementado hasta un 25% de préstamo educativo sin exceder el 90% del apoyo total, de acuerdo con los lineamientos previamente definidos. Este programa aplica solo para realizar estudios de nivel profesional. e.	En el Programa de Becas Líderes del Mañana el porcentaje de beca es del 100% de la colegiatura. Asimismo, incluye el pago de la cuota del seguro de gastos médicos mayores. Este programa aplica solo para realizar estudios de nivel profesional. f.	En el Programa de Becas de Fondos Externos el porcentaje de beca puede ser: a.	Hasta de 100% de fondos externos. b.	Una combinación de fondos externos y un porcentaje de apoyo otorgado por el Tecnológico de Monterrey. g.	En el Programa de Becas Socioeconómicas para Alumnos Extranjeros el porcentaje de beca no debe exceder al 40% y excepcionalmente hasta un 50% con base en los criterios establecidos. En este programa no se otorgan préstamos educativos.    h.	En el Programa de Becas al Talento Creativo el porcentaje de beca no debe exceder al 70% de la colegiatura. Si la necesidad económica es mayor a la beca otorgada puede ser complementado hasta con un 25% de préstamo educativo sin exceder el 90% de apoyo total, de acuerdo con los lineamientos previamente definidos. Este programa aplica para realizar estudios de nivel profesional solamente en las carreras definidas según se establece en el artículo correspondiente a los requisitos para solicitar esta beca.                               "
CAPÍTULO III,Artículo 13, Cada campus cuenta con un presupuesto limitado para la asignación de becas y préstamos educativos a los alumnos que cumplan con las condiciones y requisitos establecidos. 
CAPÍTULO III,Artículo 14," En cada campus los órganos colegiados responsables de la revisión y evaluación de las solicitudes de becas, así como la asignación de becas y préstamos educativos son los comités de los distintos programas de apoyo educativo. "
CAPÍTULO III,Artículo 15," La entidad responsable de la asignación de Becas Líderes del Mañana es el Comité Nacional del Programa de Becas Líderes del Mañana, quien será la instancia responsable de asegurar una asignación imparcial a partir del análisis de cada una de las solicitudes presentadas. "
CAPÍTULO III,Artículo 16," Los comités de apoyos educativos del campus se aseguran que las becas y préstamos educativos se otorguen de forma imparcial, tomando en cuenta las aptitudes académicas, atléticas, artísticas, de liderazgo, creativas y de emprendimiento de conformidad con los criterios establecidos en el presente reglamento. "
