chapter,article,content
CHAPTER I,Article 1.1," Individuals who wish to be admitted to Tecnológico de Monterrey as students must be able to demonstrate a high probability of academic success. The following criteria are taken into account for this purpose:  1.	Result of the admission exam 2.	Prior academic background 3.	Achievements (academic, leadership, cultural, sports, pers  In the case of students who participate in double-degree or dual-degree programs established with foreign universities, the admissions processes of each of these foreign institutions will be considered equivalent for foreign students participating in the program. This consideration is also valid for external transfer students in accordance with the definition set forth in the general definitions section. "
CHAPTER I,Article 1.2," In order to be admitted to an undergraduate program at Tecnológico de Monterrey, all students must submit the documentation required by the Institution, meet the requirements established to study the degree of their choice and comply with the legal requirements in effect in Mexico. Applicants who completed high school abroad must comply with the corresponding legal requirements for the recognition of these studies in Mexico. "
CHAPTER I,Article 1.3," The deadline for submitting the documentation required by the institution, inclu- ding the documents that certify complete studies in the previous academic level, is sixty calendar days after the first day of classes of the first academic period in which students register as such. If these documents are not submitted by the aforementioned deadline, Tecnológico de Monterrey will deregister the student.           "
CHAPTER I,Article 1.4, Students who postpone their academic enrollment for more than one semester or trimester academic period and reapply for admission will be subject to the admission regulations in effect. 
CHAPTER I,Article 1.5," Admitted applicants must prove the knowledge required for the exploration area of degree of their choice. The Institution stipulates the initial evaluation procedures and defines the external exams or alternative criteria to prove such knowledge.  Students who do not demonstrate this knowledge will receive a recommendation on the actions to be taken to strengthen the knowledge required and, if they so decide, can enroll in the introductory-level educational units offered by the Institution for this purpose. As of that moment, such introductory-level educational units will form part of the student’s curriculum. "
CHAPTER I,Article 1.6, Students who have been required to withdraw definitively for unsatisfactory academic performance at any of the Tecnológico de Monterrey campuses cannot be readmitted to the same academic level at the institution.  Students who have been dismissed definitively for academic integrity violations cannot be readmitted to Tecnológico de Monterrey.                                              
CHAPTER II,Article 2.1," Undergraduate educational units are taught in semester periods, with the exception of programs from the area of Health that include clinical activities which can be taught in semester or trimestral periods. "
CHAPTER II,Article 2.2, Some of the educational units from the current curricula are offered during summer or winter intensive periods. These educational units must consist of a total number of hours of academic work equal to that of an educational unit offered in semester periods. 
CHAPTER II,Article 2.3," Educational units from Tec Week in undergraduate degrees consist of one week within the regular semester of classes, in which students complete academic activities to develop or strengthen competencies. Students enrolled in the semester academic period must complete three Tec Weeks, until they earn credit for at least the Tec Weeks stipulated as a graduation requirement.                                                  "
CHAPTER III,Article 3.1," In order to validate, at Tecnológico de Monterrey, the courses passed at an institution other than Tecnológico de Monterrey by a specific student, the legal terms for revalidation of studies completed at a foreign university; equivalency of studies completed at a Mexican institution other than Tecnológico de Monterrey; and the credit transfer of educational units passed and failed at Tecnológico or at universities with which it has entered into a collaboration agreement are used.  Tecnológico de Monterrey, at the request of the applicant, will process the revalidation and equivalency proposals (for partial studies) with the Mexican Ministry of Public Education. Applications will be subject to assessment and –where appropriate– authorization. These procedures can also be carried out directly by the applicant with the Mexican Ministry of Public Education. In this case, the educational units to be revalidated or made equivalent will be determined by Tecnológico de Monterrey.  In the case of revalidation and equivalency of complete studies, the procedure and decision is effected solely by the Mexican Ministry of Public Education.  The decision or resolution for the revalidation or equivalency of studies cannot be modified once the first semester of the student’s enrollment in an exploration area or degree at Tecnológico de Monterrey has finished. The revalidation or equivalency resolution can only be reviewed and, where appropriate, modified in changes of exploration area or degree. "
CHAPTER III,Article 3.2," The educational units recorded on a student’s transcript as having earned credit or been passed by revalidation or equivalency must be similar to those offered by Tecnológico de Monterrey with regard to their content and duration.  Revalidation and equivalency agreements must meet the following requirements in order to be processed:    ACADEMIC REGULATIONS FOR UNDERGRADUATE STUDENTS     1.	Only courses completed at institutions recognized by the Mexican Ministry of Public Education can be revalidated or subject to equivalency. 2.	Courses completed at another institution must have a grade of at least 80/100 or the equivalent on another grade scale. 3.	At least 80% of the course content and academic load completed at the other institution and the educational units for which the transfer credit or equivalency agreement is being requested at Tecnológico de Monterrey must be similar 4.	Revalidation or equivalency cannot be accepted for educational units if credit has not been earned for their academic prerequisite  Tecnológico de Monterrey can require the evaluation of the competencies associated with the educational unit.  A grade A (passed) will be assigned in the educational units for which students have obtained a revalidation or equivalency agreement for studies completed at another university, including credit for one Tec Week for each six academic credits.  Credit can be awarded for additional Tec Weeks through the procedure established by the Office of the Academic and Educational Innovation Vice Rector for this purpose. "
CHAPTER III,Article 3.3," Up to 50% of the academic credits that comprise the curriculum of an undergraduate degree can be recorded on a student’s transcript, as the result of a revalidation or equivalency process for studies at other institutions. "
CHAPTER III,Article 3.4," No more than the equivalent of 75% of the total number of academic credits can be included in the student’s transcript for double-degree undergraduate programs established in conjunction with foreign universities, as a result of revalidation, credit transfer or equivalency procedures. "
CHAPTER III,Article 3.5, Students who wish to study an additional undergraduate degree at Tecnológico de Monterrey can only be awarded credit for up to 75% of the academic credits completed previously in another undergraduate degree.       
CHAPTER III,Article 3.6," Undergraduate students can study courses at a foreign university with which Tecnológico de Monterrey has signed a cooperation agreement and be awarded credit for educational units, as long as the established requirements are met and for no more than 50% of the academic credits. "
CHAPTER III,Article 3.7, Students who wish to transfer to another campus must comply with the requirements and procedures established by the Office of the Registrar for this purpose. 
CHAPTER III,Article 3.8," On entering Tecnológico de Monterrey, students who graduated from the Advanced Placement Program, managed by the College Board, and students who graduate from the International Baccalaureate can be awarded credit for educational units from their exploration area or curriculum without having to take a proficiency exam, as long as the academic criteria defined for this purpose are met. "
CHAPTER III,Article 3.9," The educational units that are recorded as passed at the Institution or at foreign universities with which Tecnológico de Monterrey has signed a collaboration agreement can earn credit for educational units that are similar in content and duration, from a curriculum. "
CHAPTER III,Article 3.10," Variable educational units called Topics I, Topics II, Topics III, Topics IV, Topics V, Topics VI can earn credit from the educational units with academic credit from the official catalogue of Tecnológico de Monterrey or from courses with credit from the official catalogue of foreign universities with which Tecnológico de Monterrey has signed a collaboration agreement, through the procedure authorized by the Office of the Academic and Educational Innovation Vice Rector.                       "
