InvoiceNo,Description
536365,"Invoice Number: 536365, Stock code: 85123A, Description: WHITE HANGING HEART T-LIGHT HOLDER, Quantity: 6, Invoice Date: 01/12/2010 at: 08:26, Unit Price: 2.55, Customer ID: 17850, Country: United Kingdom"
536365,"Invoice Number: 536365, Stock code: 71053, Description: WHITE METAL LANTERN, Quantity: 6, Invoice Date: 01/12/2010 at: 08:26, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536365,"Invoice Number: 536365, Stock code: 84406B, Description: CREAM CUPID HEARTS COAT HANGER, Quantity: 8, Invoice Date: 01/12/2010 at: 08:26, Unit Price: 2.75, Customer ID: 17850, Country: United Kingdom"
536365,"Invoice Number: 536365, Stock code: 84029G, Description: KNITTED UNION FLAG HOT WATER BOTTLE, Quantity: 6, Invoice Date: 01/12/2010 at: 08:26, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536365,"Invoice Number: 536365, Stock code: 84029E, Description: RED WOOLLY HOTTIE WHITE HEART., Quantity: 6, Invoice Date: 01/12/2010 at: 08:26, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536365,"Invoice Number: 536365, Stock code: 22752, Description: SET 7 BABUSHKA NESTING BOXES, Quantity: 2, Invoice Date: 01/12/2010 at: 08:26, Unit Price: 7.65, Customer ID: 17850, Country: United Kingdom"
536365,"Invoice Number: 536365, Stock code: 21730, Description: GLASS STAR FROSTED T-LIGHT HOLDER, Quantity: 6, Invoice Date: 01/12/2010 at: 08:26, Unit Price: 4.25, Customer ID: 17850, Country: United Kingdom"
536366,"Invoice Number: 536366, Stock code: 22633, Description: HAND WARMER UNION JACK, Quantity: 6, Invoice Date: 01/12/2010 at: 08:28, Unit Price: 1.85, Customer ID: 17850, Country: United Kingdom"
536366,"Invoice Number: 536366, Stock code: 22632, Description: HAND WARMER RED POLKA DOT, Quantity: 6, Invoice Date: 01/12/2010 at: 08:28, Unit Price: 1.85, Customer ID: 17850, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 84879, Description: ASSORTED COLOUR BIRD ORNAMENT, Quantity: 32, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 1.69, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 22745, Description: POPPY'S PLAYHOUSE BEDROOM , Quantity: 6, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 2.1, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 22748, Description: POPPY'S PLAYHOUSE KITCHEN, Quantity: 6, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 2.1, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 22749, Description: FELTCRAFT PRINCESS CHARLOTTE DOLL, Quantity: 8, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 3.75, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 22310, Description: IVORY KNITTED MUG COSY , Quantity: 6, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 1.65, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 84969, Description: BOX OF 6 ASSORTED COLOUR TEASPOONS, Quantity: 6, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 4.25, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 22623, Description: BOX OF VINTAGE JIGSAW BLOCKS , Quantity: 3, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 4.95, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 22622, Description: BOX OF VINTAGE ALPHABET BLOCKS, Quantity: 2, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 9.95, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 21754, Description: HOME BUILDING BLOCK WORD, Quantity: 3, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 5.95, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 21755, Description: LOVE BUILDING BLOCK WORD, Quantity: 3, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 5.95, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 21777, Description: RECIPE BOX WITH METAL HEART, Quantity: 4, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 7.95, Customer ID: 13047, Country: United Kingdom"
536367,"Invoice Number: 536367, Stock code: 48187, Description: DOORMAT NEW ENGLAND, Quantity: 4, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 7.95, Customer ID: 13047, Country: United Kingdom"
536368,"Invoice Number: 536368, Stock code: 22960, Description: JAM MAKING SET WITH JARS, Quantity: 6, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 4.25, Customer ID: 13047, Country: United Kingdom"
536368,"Invoice Number: 536368, Stock code: 22913, Description: RED COAT RACK PARIS FASHION, Quantity: 3, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 4.95, Customer ID: 13047, Country: United Kingdom"
536368,"Invoice Number: 536368, Stock code: 22912, Description: YELLOW COAT RACK PARIS FASHION, Quantity: 3, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 4.95, Customer ID: 13047, Country: United Kingdom"
536368,"Invoice Number: 536368, Stock code: 22914, Description: BLUE COAT RACK PARIS FASHION, Quantity: 3, Invoice Date: 01/12/2010 at: 08:34, Unit Price: 4.95, Customer ID: 13047, Country: United Kingdom"
